╔════════════════════════════════════════════════╗
║      Optimal Solver - Starting from Scratch    ║
╚════════════════════════════════════════════════╝

Map: starting_simple.txt
Initial Temperature: 100000.0
Cooling Rate: 0.999995
Max Iterations: 100000000
Budget: $200

Grid: 7x5
Found 17 valid command locations:
  [1,0] building (2 floors)
  [2,0] building (2 floors)
  [3,0] building (2 floors)
  [5,0] P (1 floor)
  [2,1] building (2 floors)
  [3,1] P (1 floor)
  [5,1] building (2 floors)
  [1,2] building (2 floors)
  [3,2] building (2 floors)
  [5,2] building (2 floors)
  [2,3] building (2 floors)
  [3,3] building (2 floors)
  [5,3] P (1 floor)
  [1,4] building (2 floors)
  [3,4] building (2 floors)
  [4,4] building (2 floors)
  [5,4] building (2 floors)

Starting from EMPTY grid: Score=7062
Beginning optimization...

Iter      | Temp     | Current    | Best       | Accept | Cost  | Commands
   440000 |  11080.3 |       6500 |      34906 | 434528 | $ 70 |        5  (2s)
   445000 |  10806.7 |      10062 |      34906 | 439382 | $ 90 |        3  (2s)
   450000 |  10539.9 |       9562 |      34906 | 444230 | $ 30 |        2  (2s)
   455000 |  10279.7 |       7312 |      34906 | 449076 | $100 |        5  (2s)
   460000 |  10025.9 |      10625 |      34906 | 453944 | $140 |        7  (2s)

🔥 RESTART #1 - Reheating! (stuck for 131136 iterations) Temp: 50000.0 (2s)

   465000 |  48891.7 |       7062 |      34906 | 458899 | $  0 |        0  (2s)
   470000 |  47684.6 |       8062 |      34906 | 463859 | $ 40 |        2  (2s)
   475000 |  46507.2 |       6000 |      34906 | 468828 | $120 |        6  (2s)
   480000 |  45359.0 |       6000 |      34906 | 473794 | $ 30 |        3  (2s)
   485000 |  44239.0 |       8750 |      34906 | 478750 | $ 70 |        5  (2s)
   490000 |  43146.8 |      12562 |      34906 | 483721 | $110 |        5  (2s)
   495000 |  42081.5 |       8906 |      34906 | 488689 | $100 |        7  (3s)
   500000 |  41042.5 |       7062 |      34906 | 493655 | $  0 |        0  (3s)
   505000 |  40029.1 |      10500 |      34906 | 498626 | $ 60 |        3  (3s)
   510000 |  39040.8 |       7312 |      34906 | 503590 | $ 50 |        2  (3s)
   515000 |  38076.9 |       6062 |      34906 | 508552 | $150 |        8  (3s)
   520000 |  37136.8 |       8562 |      34906 | 513521 | $ 10 |        1  (3s)
   525000 |  36219.8 |       5062 |      34906 | 518481 | $ 60 |        4  (3s)
   530000 |  35325.6 |      10000 |      34906 | 523428 | $ 20 |        2  (3s)
   535000 |  34453.4 |       9062 |      34906 | 528375 | $170 |        9  (3s)
   540000 |  33602.7 |       8062 |      34906 | 533318 | $ 30 |        1  (3s)
   545000 |  32773.1 |       3125 |      34906 | 538272 | $200 |       13  (3s)
   550000 |  31963.9 |       7062 |      34906 | 543225 | $ 20 |        1  (3s)
   555000 |  31174.7 |       8000 |      34906 | 548174 | $ 70 |        5  (3s)
   560000 |  30405.0 |       7343 |      34906 | 553121 | $110 |        6  (3s)
   565000 |  29654.3 |       9500 |      34906 | 558057 | $ 70 |        5  (3s)
   570000 |  28922.1 |       5312 |      34906 | 562995 | $120 |        6  (3s)
   575000 |  28208.0 |       7812 |      34906 | 567922 | $ 70 |        4  (3s)
   580000 |  27511.6 |      10750 |      34906 | 572868 | $140 |        8  (3s)
   585000 |  26832.3 |       7062 |      34906 | 577808 | $ 10 |        1  (3s)
   590000 |  26169.8 |       7750 |      34906 | 582741 | $ 90 |        5  (3s)
   595000 |  25523.7 |       7062 |      34906 | 587666 | $ 30 |        3  (3s)
   600000 |  24893.5 |       9062 |      34906 | 592605 | $160 |       10  (3s)
   605000 |  24278.9 |      10812 |      34906 | 597555 | $180 |        7  (3s)
   610000 |  23679.4 |       8062 |      34906 | 602493 | $ 50 |        2  (3s)
   615000 |  23094.8 |       7062 |      34906 | 607439 | $  0 |        0  (3s)
   620000 |  22524.6 |       9312 |      34906 | 612359 | $130 |        5  (3s)
   625000 |  21968.4 |       4468 |      34906 | 617278 | $ 50 |        3  (3s)
   630000 |  21426.0 |       8062 |      34906 | 622200 | $ 40 |        2  (3s)
   635000 |  20897.0 |       5250 |      34906 | 627116 | $ 40 |        4  (3s)
   640000 |  20381.1 |      11812 |      34906 | 632042 | $ 90 |        5  (3s)
   645000 |  19877.8 |       5062 |      34906 | 636962 | $ 50 |        3  (3s)
   650000 |  19387.1 |       4968 |      34906 | 641879 | $120 |        9  (3s)
   655000 |  18908.4 |       8812 |      34906 | 646798 | $130 |       11  (3s)
   660000 |  18441.5 |       9062 |      34906 | 651710 | $ 40 |        2  (3s)
   665000 |  17986.2 |      14500 |      34906 | 656597 | $120 |        7  (4s)
   670000 |  17542.1 |      14937 |      34906 | 661492 | $120 |        8  (4s)
   675000 |  17109.0 |       7375 |      34906 | 666380 | $ 70 |        5  (4s)
   680000 |  16686.6 |      11750 |      34906 | 671279 | $ 60 |        4  (4s)
   685000 |  16274.6 |       7062 |      34906 | 676174 | $  0 |        0  (4s)
   690000 |  15872.8 |       7062 |      34906 | 681082 | $100 |        6  (4s)
   695000 |  15480.9 |       6062 |      34906 | 685985 | $120 |        7  (4s)
   700000 |  15098.6 |       7062 |      34906 | 690873 | $ 10 |        1  (4s)
   705000 |  14725.9 |       7062 |      34906 | 695754 | $  0 |        0  (4s)
   710000 |  14362.3 |       9500 |      34906 | 700645 | $ 20 |        2  (4s)
   715000 |  14007.7 |       7062 |      34906 | 705540 | $150 |        8  (4s)
   720000 |  13661.8 |       7312 |      34906 | 710428 | $ 60 |        6  (4s)
   725000 |  13324.5 |       8062 |      34906 | 715309 | $ 50 |        2  (4s)
   730000 |  12995.5 |      10937 |      34906 | 720170 | $ 50 |        3  (4s)
   735000 |  12674.7 |       7062 |      34906 | 725025 | $ 10 |        1  (4s)
   740000 |  12361.7 |       4687 |      34906 | 729903 | $ 70 |        5  (4s)
   745000 |  12056.5 |       6875 |      34906 | 734746 | $ 50 |        3  (4s)
   750000 |  11758.8 |       7062 |      34906 | 739593 | $  0 |        0  (4s)
   755000 |  11468.5 |       3750 |      34906 | 744465 | $100 |        7  (4s)
   760000 |  11185.3 |       6531 |      34906 | 749322 | $ 80 |        5  (4s)
   765000 |  10909.2 |       7625 |      34906 | 754156 | $100 |        6  (4s)
   770000 |  10639.8 |       8062 |      34906 | 758995 | $ 60 |        2  (4s)
   775000 |  10377.1 |       7062 |      34906 | 763823 | $ 60 |        3  (4s)
   780000 |  10120.9 |       7875 |      34906 | 768639 | $ 60 |        3  (4s)

🔥 RESTART #2 - Reheating! (stuck for 321887 iterations) Temp: 50000.0 (4s)

   785000 |  49355.2 |       5312 |      34906 | 773529 | $ 40 |        2  (4s)
   790000 |  48136.6 |       8750 |      34906 | 778489 | $ 10 |        1  (4s)
   795000 |  46948.1 |       8312 |      34906 | 783456 | $ 60 |        3  (4s)
   800000 |  45788.9 |       8000 |      34906 | 788426 | $ 40 |        4  (4s)
   805000 |  44658.4 |       7062 |      34906 | 793392 | $ 10 |        1  (4s)
   810000 |  43555.8 |      10500 |      34906 | 798351 | $ 80 |        7  (4s)
   815000 |  42480.4 |       5312 |      34906 | 803324 | $ 70 |        3  (4s)
