╔════════════════════════════════════════════════╗
║      Optimal Solver - Starting from Scratch    ║
╚════════════════════════════════════════════════╝

Map: starting_simple.txt
Initial Temperature: 100000.0
Cooling Rate: 0.999995
Max Iterations: 100000000
Budget: $200

Grid: 7x5
Found 17 valid command locations:
  [1,0] building (2 floors)
  [2,0] building (2 floors)
  [3,0] building (2 floors)
  [5,0] P (1 floor)
  [2,1] building (2 floors)
  [3,1] P (1 floor)
  [5,1] building (2 floors)
  [1,2] building (2 floors)
  [3,2] building (2 floors)
  [5,2] building (2 floors)
  [2,3] building (2 floors)
  [3,3] building (2 floors)
  [5,3] P (1 floor)
  [1,4] building (2 floors)
  [3,4] building (2 floors)
  [4,4] building (2 floors)
  [5,4] building (2 floors)

Starting from EMPTY grid: Score=7062
Beginning optimization...

Iter      | Temp     | Current    | Best       | Accept | Cost  | Commands
   545000 |   6554.6 |       8875 |      37250 | 535100 | $ 70 |        6  (3s)
   550000 |   6392.8 |       7312 |      37250 | 539859 | $ 40 |        2  (3s)
   555000 |   6234.9 |       5062 |      37250 | 544535 | $130 |        9  (3s)
   560000 |   6081.0 |       7062 |      37250 | 549236 | $ 20 |        2  (3s)
   565000 |   5930.9 |       8625 |      37250 | 553925 | $ 50 |        4  (3s)
   570000 |   5784.4 |       6875 |      37250 | 558639 | $ 90 |        5  (3s)
   575000 |   5641.6 |       8062 |      37250 | 563265 | $ 40 |        2  (3s)
   580000 |   5502.3 |      16000 |      37250 | 567927 | $100 |        6  (3s)
   582039 |   5446.5 |      37937 |      37937 | 569820 | $180 |       10  ✨ NEW BEST! (3s)
   582045 |   5446.3 |      38437 |      38437 | 569822 | $200 |       11  ✨ NEW BEST! (3s)
   585000 |   5366.5 |       9500 |      38437 | 572548 | $ 10 |        1  (3s)
   590000 |   5234.0 |       7062 |      38437 | 577199 | $ 60 |        4  (3s)
   595000 |   5104.7 |       7062 |      38437 | 581853 | $  0 |        0  (3s)
   600000 |   4978.7 |       7062 |      38437 | 586466 | $ 10 |        1  (3s)
   605000 |   4855.8 |      12062 |      38437 | 591076 | $ 50 |        3  (3s)
   610000 |   4735.9 |      10750 |      38437 | 595737 | $ 40 |        2  (3s)
   615000 |   4619.0 |      13750 |      38437 | 600339 | $190 |       10  (3s)
   616764 |   4578.4 |      41750 |      41750 | 601956 | $170 |       11  ✨ NEW BEST! (3s)
   616775 |   4578.1 |      42250 |      42250 | 601963 | $190 |       12  ✨ NEW BEST! (3s)
   620000 |   4504.9 |      17562 |      42250 | 604868 | $120 |        7  (3s)
   625000 |   4393.7 |      16750 |      42250 | 609402 | $200 |       11  (3s)
   630000 |   4285.2 |       9750 |      42250 | 613977 | $ 20 |        2  (3s)
   635000 |   4179.4 |       7312 |      42250 | 618529 | $ 60 |        4  (3s)
   640000 |   4076.2 |      13281 |      42250 | 623153 | $ 90 |        8  (3s)
   645000 |   3975.6 |       7062 |      42250 | 627677 | $  0 |        0  (3s)
   650000 |   3877.4 |       8750 |      42250 | 632271 | $ 10 |        1  (3s)
   655000 |   3781.7 |       7062 |      42250 | 636713 | $ 20 |        2  (3s)
   660000 |   3688.3 |       7062 |      42250 | 641186 | $ 50 |        2  (3s)
   665000 |   3597.2 |       7062 |      42250 | 645554 | $  0 |        0  (3s)
   670000 |   3508.4 |       7000 |      42250 | 650077 | $100 |        6  (3s)
   675000 |   3421.8 |       9500 |      42250 | 654568 | $130 |        9  (3s)
   680000 |   3337.3 |      11250 |      42250 | 659058 | $130 |        7  (3s)
   685000 |   3254.9 |       7562 |      42250 | 663508 | $ 30 |        1  (3s)
   690000 |   3174.6 |       7062 |      42250 | 667936 | $ 10 |        1  (3s)
   695000 |   3096.2 |       9312 |      42250 | 672355 | $ 50 |        3  (3s)
   700000 |   3019.7 |       7062 |      42250 | 676749 | $ 30 |        2  (3s)
   705000 |   2945.2 |       5750 |      42250 | 681057 | $ 50 |        3  (3s)
   710000 |   2872.5 |      13750 |      42250 | 685250 | $ 80 |        6  (4s)
   715000 |   2801.5 |       7250 |      42250 | 689629 | $170 |        8  (4s)
   720000 |   2732.4 |       8562 |      42250 | 693922 | $120 |        5  (4s)
   725000 |   2664.9 |       5687 |      42250 | 697999 | $100 |        5  (4s)
   730000 |   2599.1 |      10750 |      42250 | 702111 | $100 |        7  (4s)
   731932 |   2574.1 |      42750 |      42750 | 703771 | $200 |       11  ✨ NEW BEST! (4s)
   731957 |   2573.8 |      45750 |      45750 | 703785 | $200 |       11  ✨ NEW BEST! (4s)
   732173 |   2571.0 |      45937 |      45937 | 703886 | $200 |       11  ✨ NEW BEST! (4s)
   735000 |   2534.9 |      11000 |      45937 | 705796 | $ 90 |        5  (4s)
   740000 |   2472.3 |       7000 |      45937 | 709860 | $ 50 |        3  (4s)
   745000 |   2411.3 |       7062 |      45937 | 713928 | $ 70 |        3  (4s)
   750000 |   2351.8 |      42375 |      45937 | 718043 | $200 |       12  (4s)
   750486 |   2346.1 |      51250 |      51250 | 718302 | $190 |        9  ✨ NEW BEST! (4s)
   752022 |   2328.1 |      51500 |      51500 | 719170 | $190 |        9  ✨ NEW BEST! (4s)
   752222 |   2325.8 |      53500 |      53500 | 719266 | $200 |       10  ✨ NEW BEST! (4s)
   753983 |   2305.4 |      55906 |      55906 | 720241 | $200 |       10  ✨ NEW BEST! (4s)
   754151 |   2303.5 |      57406 |      57406 | 720322 | $200 |       10  ✨ NEW BEST! (4s)
   755000 |   2293.7 |      53250 |      57406 | 720756 | $200 |       10  (4s)
   760000 |   2237.1 |      44250 |      57406 | 723631 | $200 |       10  (4s)
   765000 |   2181.8 |      37500 |      57406 | 726618 | $140 |        8  (4s)
   770000 |   2128.0 |      49250 |      57406 | 729412 | $200 |       11  (4s)
   775000 |   2075.4 |      31562 |      57406 | 732161 | $170 |       10  (4s)
   780000 |   2024.2 |      41250 |      57406 | 734915 | $130 |        7  (4s)
   785000 |   1974.2 |      38000 |      57406 | 737807 | $130 |        9  (4s)
   790000 |   1925.5 |      38000 |      57406 | 740482 | $140 |        9  (4s)
   795000 |   1877.9 |      53250 |      57406 | 743244 | $190 |        9  (4s)
   800000 |   1831.6 |      40000 |      57406 | 745947 | $140 |        8  (4s)
   805000 |   1786.3 |      41531 |      57406 | 748729 | $190 |       10  (4s)
   810000 |   1742.2 |      32250 |      57406 | 751490 | $200 |       12  (4s)
   810962 |   1733.9 |      57500 |      57500 | 752040 | $190 |        9  ✨ NEW BEST! (4s)
   815000 |   1699.2 |      49906 |      57500 | 754324 | $200 |       10  (4s)
   816914 |   1683.0 |      57750 |      57750 | 755326 | $200 |       10  ✨ NEW BEST! (4s)
   818546 |   1669.4 |      58093 |      58093 | 756185 | $200 |       10  ✨ NEW BEST! (4s)
   820000 |   1657.3 |      47500 |      58093 | 756941 | $200 |        9  (4s)
   825000 |   1616.3 |      51500 |      58093 | 759564 | $200 |        9  (4s)
   830000 |   1576.4 |      41250 |      58093 | 762172 | $170 |       11  (4s)
   835000 |   1537.5 |      47250 |      58093 | 764926 | $200 |       10  (4s)
   840000 |   1499.5 |      49250 |      58093 | 767533 | $190 |       10  (4s)
   845000 |   1462.5 |      51500 |      58093 | 770146 | $190 |        9  (4s)
   847920 |   1441.3 |      58468 |      58468 | 771634 | $190 |        9  ✨ NEW BEST! (4s)
   850000 |   1426.4 |      39250 |      58468 | 772645 | $150 |        8  (4s)
   855000 |   1391.2 |      57500 |      58468 | 775314 | $190 |        9  (4s)
   860000 |   1356.8 |      56000 |      58468 | 777760 | $190 |        9  (4s)
   864395 |   1327.4 |      58500 |      58500 | 779968 | $200 |       10  ✨ NEW BEST! (4s)
   865000 |   1323.3 |      48250 |      58500 | 780283 | $200 |       10  (4s)
   870000 |   1290.7 |      48000 |      58500 | 782952 | $190 |       10  (4s)
   875000 |   1258.8 |      57250 |      58500 | 785460 | $200 |       10  (4s)
   880000 |   1227.7 |      41625 |      58500 | 788023 | $170 |       10  (4s)
   885000 |   1197.4 |      57250 |      58500 | 790580 | $190 |        9  (4s)
   890000 |   1167.8 |      52750 |      58500 | 793220 | $200 |       10  (4s)
   895000 |   1139.0 |      57250 |      58500 | 795696 | $190 |        9  (4s)
   896190 |   1132.3 |      59125 |      59125 | 796323 | $200 |       10  ✨ NEW BEST! (4s)
   900000 |   1110.9 |      50000 |      59125 | 798194 | $190 |       11  (5s)
   905000 |   1083.5 |      58000 |      59125 | 800572 | $200 |       10  (5s)
   910000 |   1056.7 |      57625 |      59125 | 803055 | $200 |       10  (5s)
   915000 |   1030.6 |      56000 |      59125 | 805484 | $200 |       10  (5s)
   920000 |   1005.2 |      57250 |      59125 | 808056 | $200 |       10  (5s)
   925000 |    980.4 |      57250 |      59125 | 810521 | $200 |        9  (5s)
   930000 |    956.2 |      57250 |      59125 | 812998 | $200 |       10  (5s)
   935000 |    932.5 |      53500 |      59125 | 815443 | $180 |        8  (5s)
   938350 |    917.1 |      59375 |      59375 | 817108 | $200 |       10  ✨ NEW BEST! (5s)
   940000 |    909.5 |      55500 |      59375 | 817901 | $200 |       10  (5s)
   945000 |    887.1 |      57250 |      59375 | 820359 | $190 |        9  (5s)
   950000 |    865.2 |      57625 |      59375 | 822779 | $200 |       10  (5s)
   954628 |    845.4 |      59625 |      59625 | 825002 | $200 |       10  ✨ NEW BEST! (5s)
   955000 |    843.8 |      59625 |      59625 | 825190 | $200 |       10  (5s)
   960000 |    823.0 |      57250 |      59625 | 827650 | $190 |        9  (5s)
   965000 |    802.6 |      58000 |      59625 | 829972 | $200 |       10  (5s)
   970000 |    782.8 |      57250 |      59625 | 832340 | $190 |        9  (5s)
   975000 |    763.5 |      57250 |      59625 | 834694 | $190 |        9  (5s)
   980000 |    744.7 |      57250 |      59625 | 837116 | $200 |        9  (5s)
   985000 |    726.3 |      57250 |      59625 | 839402 | $190 |        9  (5s)
   990000 |    708.3 |      58250 |      59625 | 841847 | $200 |       10  (5s)
   995000 |    690.8 |      56312 |      59625 | 844182 | $190 |        9  (5s)
  1000000 |    673.8 |      57250 |      59625 | 846492 | $190 |        9  (5s)
  1005000 |    657.2 |      57250 |      59625 | 848753 | $190 |        9  (5s)
  1010000 |    640.9 |      55500 |      59625 | 851193 | $200 |       10  (5s)
  1015000 |    625.1 |      57250 |      59625 | 853595 | $200 |       10  (5s)
  1020000 |    609.7 |      57500 |      59625 | 855891 | $200 |       10  (5s)
  1025000 |    594.6 |      57500 |      59625 | 858288 | $200 |        9  (5s)
  1030000 |    579.9 |      57250 |      59625 | 860678 | $190 |        9  (5s)
  1035000 |    565.6 |      55906 |      59625 | 863075 | $200 |        9  (5s)
  1040000 |    551.7 |      58500 |      59625 | 865434 | $200 |       10  (5s)
  1045000 |    538.0 |      57250 |      59625 | 867742 | $180 |        8  (5s)
  1050000 |    524.7 |      57500 |      59625 | 869984 | $200 |        9  (5s)
  1055000 |    511.8 |      58125 |      59625 | 872301 | $200 |        9  (5s)
  1060000 |    499.2 |      57250 |      59625 | 874652 | $200 |       10  (5s)
  1065000 |    486.8 |      57250 |      59625 | 876941 | $200 |       10  (5s)
  1070000 |    474.8 |      57750 |      59625 | 879267 | $190 |        9  (5s)
  1075000 |    463.1 |      57500 |      59625 | 881502 | $190 |        9  (5s)
