╔════════════════════════════════════════════════╗
║      Optimal Solver - Starting from Scratch    ║
╚════════════════════════════════════════════════╝

Map: starting_simple.txt
Initial Temperature: 100000.0
Cooling Rate: 0.99999
Max Iterations: 20000000
Budget: $200

Grid: 7x5
Found 17 valid command locations:
  [1,0] building (2 floors)
  [2,0] building (2 floors)
  [3,0] building (2 floors)
  [5,0] P (1 floor)
  [2,1] building (2 floors)
  [3,1] P (1 floor)
  [5,1] building (2 floors)
  [1,2] building (2 floors)
  [3,2] building (2 floors)
  [5,2] building (2 floors)
  [2,3] building (2 floors)
  [3,3] building (2 floors)
  [5,3] P (1 floor)
  [1,4] building (2 floors)
  [3,4] building (2 floors)
  [4,4] building (2 floors)
  [5,4] building (2 floors)

Starting from EMPTY grid: Score=7062
Beginning optimization...

Iter      | Temp     | Current    | Best       | Accept | Cost  | Commands
   390000 |   2024.2 |      11062 |      51531 | 367817 | $120 |        5  (2s)
   393167 |   1961.1 |      52000 |      52000 | 369983 | $200 |       10  ✨ NEW BEST! (2s)
   393187 |   1960.7 |      52125 |      52125 | 369994 | $200 |       10  ✨ NEW BEST! (2s)
   393402 |   1956.5 |      57500 |      57500 | 370118 | $200 |       10  ✨ NEW BEST! (2s)
   395000 |   1925.5 |      37750 |      57500 | 371026 | $200 |       10  (2s)
   400000 |   1831.5 |      36125 |      57500 | 373765 | $170 |        9  (2s)
   401602 |   1802.4 |      57625 |      57625 | 374659 | $190 |        9  ✨ NEW BEST! (2s)
   405000 |   1742.2 |      56000 |      57625 | 376503 | $200 |       10  (2s)
   410000 |   1657.3 |      51250 |      57625 | 379152 | $200 |       10  (2s)
   410825 |   1643.6 |      57750 |      57750 | 379552 | $200 |       10  ✨ NEW BEST! (2s)
   414517 |   1584.1 |      58000 |      58000 | 381387 | $200 |       10  ✨ NEW BEST! (2s)
   414653 |   1581.9 |      58625 |      58625 | 381453 | $200 |       10  ✨ NEW BEST! (2s)
   415000 |   1576.4 |      46125 |      58625 | 381619 | $190 |       12  (2s)
   420000 |   1499.5 |      53250 |      58625 | 384206 | $190 |        9  (2s)
   425000 |   1426.4 |      53250 |      58625 | 386890 | $200 |       10  (2s)
   430000 |   1356.8 |      49250 |      58625 | 389617 | $200 |       11  (2s)
   435000 |   1290.7 |      45250 |      58625 | 392161 | $190 |       11  (3s)
   440000 |   1227.7 |      49500 |      58625 | 394757 | $190 |       10  (3s)
   445000 |   1167.8 |      57750 |      58625 | 397255 | $200 |       10  (3s)
   450000 |   1110.9 |      57250 |      58625 | 399662 | $200 |       10  (3s)
   455000 |   1056.7 |      57250 |      58625 | 402142 | $200 |       10  (3s)
   460000 |   1005.2 |      57250 |      58625 | 404614 | $180 |        8  (3s)
   465000 |    956.1 |      56500 |      58625 | 407024 | $200 |       10  (3s)
   470000 |    909.5 |      57500 |      58625 | 409450 | $200 |        9  (3s)
   475000 |    865.2 |      56468 |      58625 | 411909 | $200 |       10  (3s)
   475252 |    863.0 |      59125 |      59125 | 412035 | $200 |       10  ✨ NEW BEST! (3s)
   480000 |    823.0 |      58000 |      59125 | 414274 | $200 |       10  (3s)
   485000 |    782.8 |      57500 |      59125 | 416741 | $180 |        8  (3s)
   490000 |    744.6 |      57250 |      59125 | 419167 | $200 |        9  (3s)
   495000 |    708.3 |      57250 |      59125 | 421575 | $190 |        9  (3s)
   500000 |    673.8 |      53250 |      59125 | 424009 | $190 |       11  (3s)
   503307 |    651.9 |      59218 |      59218 | 425580 | $200 |       10  ✨ NEW BEST! (3s)
   505000 |    640.9 |      58468 |      59218 | 426365 | $200 |       10  (3s)
   508773 |    617.2 |      59625 |      59625 | 428145 | $200 |       10  ✨ NEW BEST! (3s)
   510000 |    609.7 |      59625 |      59625 | 428689 | $200 |       10  (3s)
   515000 |    579.9 |      57500 |      59625 | 431029 | $190 |        9  (3s)
   520000 |    551.6 |      58500 |      59625 | 433373 | $190 |        9  (3s)
   525000 |    524.7 |      57250 |      59625 | 435686 | $190 |        9  (3s)
   530000 |    499.2 |      57250 |      59625 | 438029 | $190 |        9  (3s)
   535000 |    474.8 |      57500 |      59625 | 440336 | $190 |        9  (3s)
   540000 |    451.7 |      57250 |      59625 | 442647 | $190 |        9  (3s)
   545000 |    429.6 |      58500 |      59625 | 444963 | $200 |       10  (3s)
   550000 |    408.7 |      57250 |      59625 | 447295 | $180 |        8  (3s)
   555000 |    388.7 |      58000 |      59625 | 449618 | $190 |        9  (3s)
   560000 |    369.8 |      58000 |      59625 | 451919 | $200 |       10  (3s)
   565000 |    351.7 |      56000 |      59625 | 454193 | $200 |       10  (3s)
   570000 |    334.6 |      57906 |      59625 | 456471 | $190 |        9  (3s)
   575000 |    318.3 |      58125 |      59625 | 458712 | $200 |        9  (3s)
   580000 |    302.7 |      58468 |      59625 | 460951 | $200 |       10  (3s)
   585000 |    288.0 |      57750 |      59625 | 463252 | $190 |        9  (3s)
   590000 |    273.9 |      57250 |      59625 | 465594 | $200 |       10  (3s)
   595000 |    260.6 |      57250 |      59625 | 467878 | $190 |        9  (4s)
   600000 |    247.9 |      58468 |      59625 | 470169 | $200 |       10  (4s)
   605000 |    235.8 |      59375 |      59625 | 472315 | $200 |       10  (4s)
   610000 |    224.3 |      58468 |      59625 | 474584 | $200 |       10  (4s)
   615000 |    213.3 |      59625 |      59625 | 476778 | $200 |       10  (4s)
   620000 |    202.9 |      59625 |      59625 | 478973 | $200 |       10  (4s)
   625000 |    193.0 |      59625 |      59625 | 481160 | $200 |       10  (4s)
   630000 |    183.6 |      59625 |      59625 | 483325 | $200 |       10  (4s)
   635000 |    174.7 |      59625 |      59625 | 485570 | $200 |       10  (4s)
   640000 |    166.2 |      59625 |      59625 | 487805 | $200 |       10  (4s)
   645000 |    158.0 |      59625 |      59625 | 490023 | $200 |       10  (4s)
   650000 |    150.3 |      59625 |      59625 | 492190 | $200 |       10  (4s)
   655000 |    143.0 |      59625 |      59625 | 494446 | $200 |       10  (4s)
   660000 |    136.0 |      59625 |      59625 | 496661 | $200 |       10  (4s)
   665000 |    129.4 |      59625 |      59625 | 498867 | $200 |       10  (4s)
   670000 |    123.1 |      59625 |      59625 | 501048 | $200 |       10  (4s)
   675000 |    117.1 |      59625 |      59625 | 503198 | $200 |       10  (4s)
   680000 |    111.4 |      59625 |      59625 | 505382 | $200 |       10  (4s)
   685000 |    105.9 |      59625 |      59625 | 507533 | $200 |       10  (4s)
   690000 |    100.8 |      59625 |      59625 | 509728 | $200 |       10  (4s)
   695000 |     95.9 |      59625 |      59625 | 511968 | $200 |       10  (4s)
   700000 |     91.2 |      59625 |      59625 | 514234 | $200 |       10  (4s)
   705000 |     86.7 |      59625 |      59625 | 516435 | $200 |       10  (4s)
   710000 |     82.5 |      59625 |      59625 | 518645 | $200 |       10  (4s)
   715000 |     78.5 |      59625 |      59625 | 520855 | $200 |       10  (4s)
   720000 |     74.7 |      59625 |      59625 | 523038 | $200 |       10  (4s)
   725000 |     71.0 |      59625 |      59625 | 525304 | $200 |       10  (4s)
   730000 |     67.6 |      59625 |      59625 | 527519 | $200 |       10  (4s)
   735000 |     64.3 |      59625 |      59625 | 529759 | $200 |       10  (4s)
   740000 |     61.1 |      59625 |      59625 | 532002 | $200 |       10  (4s)
   745000 |     58.1 |      59625 |      59625 | 534241 | $200 |       10  (5s)
   750000 |     55.3 |      59625 |      59625 | 536428 | $200 |       10  (5s)
   755000 |     52.6 |      59625 |      59625 | 538574 | $200 |       10  (5s)
   760000 |     50.0 |      59625 |      59625 | 540897 | $200 |       10  (5s)
   765000 |     47.6 |      59625 |      59625 | 543113 | $200 |       10  (5s)
   770000 |     45.3 |      59625 |      59625 | 545226 | $200 |       10  (5s)
   775000 |     43.1 |      59625 |      59625 | 547423 | $200 |       10  (5s)
   780000 |     41.0 |      59625 |      59625 | 549659 | $200 |       10  (5s)
   785000 |     39.0 |      59625 |      59625 | 551849 | $200 |       10  (5s)
   790000 |     37.1 |      59625 |      59625 | 554044 | $200 |       10  (5s)
   795000 |     35.3 |      59625 |      59625 | 556329 | $200 |       10  (5s)
   800000 |     33.5 |      59625 |      59625 | 558545 | $200 |       10  (5s)
   805000 |     31.9 |      59625 |      59625 | 560774 | $200 |       10  (5s)
   810000 |     30.4 |      59625 |      59625 | 562971 | $200 |       10  (5s)
   815000 |     28.9 |      59625 |      59625 | 565230 | $200 |       10  (5s)
   820000 |     27.5 |      59625 |      59625 | 567418 | $200 |       10  (5s)
   825000 |     26.1 |      59625 |      59625 | 569628 | $200 |       10  (5s)
   830000 |     24.9 |      59625 |      59625 | 571843 | $200 |       10  (5s)
   835000 |     23.6 |      59625 |      59625 | 574065 | $200 |       10  (5s)
   840000 |     22.5 |      59625 |      59625 | 576245 | $200 |       10  (5s)
   845000 |     21.4 |      59625 |      59625 | 578419 | $200 |       10  (5s)
   850000 |     20.3 |      59625 |      59625 | 580689 | $200 |       10  (5s)
   855000 |     19.4 |      59625 |      59625 | 582922 | $200 |       10  (5s)
   860000 |     18.4 |      59625 |      59625 | 585088 | $200 |       10  (5s)
   865000 |     17.5 |      59625 |      59625 | 587307 | $200 |       10  (5s)
   870000 |     16.7 |      59625 |      59625 | 589494 | $200 |       10  (5s)
   875000 |     15.8 |      59625 |      59625 | 591703 | $200 |       10  (5s)
   880000 |     15.1 |      59625 |      59625 | 593890 | $200 |       10  (5s)
   885000 |     14.3 |      59625 |      59625 | 596034 | $200 |       10  (5s)
   890000 |     13.6 |      59625 |      59625 | 598245 | $200 |       10  (5s)
   895000 |     13.0 |      59625 |      59625 | 600403 | $200 |       10  (6s)
   900000 |     12.3 |      59625 |      59625 | 602562 | $200 |       10  (6s)
   905000 |     11.7 |      59625 |      59625 | 604727 | $200 |       10  (6s)
   910000 |     11.2 |      59625 |      59625 | 607001 | $200 |       10  (6s)
   915000 |     10.6 |      59625 |      59625 | 609211 | $200 |       10  (6s)
   920000 |     10.1 |      59625 |      59625 | 611458 | $200 |       10  (6s)
   925000 |      9.6 |      59625 |      59625 | 613656 | $200 |       10  (6s)
   930000 |      9.1 |      59625 |      59625 | 615851 | $200 |       10  (6s)
   935000 |      8.7 |      59625 |      59625 | 618063 | $200 |       10  (6s)
   940000 |      8.3 |      59625 |      59625 | 620327 | $200 |       10  (6s)
   945000 |      7.9 |      59625 |      59625 | 622525 | $200 |       10  (6s)
   950000 |      7.5 |      59625 |      59625 | 624739 | $200 |       10  (6s)
   955000 |      7.1 |      59625 |      59625 | 626936 | $200 |       10  (6s)
   960000 |      6.8 |      59625 |      59625 | 629062 | $200 |       10  (6s)
   965000 |      6.4 |      59625 |      59625 | 631310 | $200 |       10  (6s)
   970000 |      6.1 |      59625 |      59625 | 633487 | $200 |       10  (6s)
   975000 |      5.8 |      59625 |      59625 | 635662 | $200 |       10  (6s)
   980000 |      5.5 |      59625 |      59625 | 637866 | $200 |       10  (6s)
   985000 |      5.3 |      59625 |      59625 | 640129 | $200 |       10  (6s)
   990000 |      5.0 |      59625 |      59625 | 642298 | $200 |       10  (6s)
   995000 |      4.8 |      59625 |      59625 | 644504 | $200 |       10  (6s)
  1000000 |      4.5 |      59625 |      59625 | 646686 | $200 |       10  (6s)
  1005000 |      4.3 |      59625 |      59625 | 648901 | $200 |       10  (6s)
  1010000 |      4.1 |      59625 |      59625 | 651150 | $200 |       10  (6s)
  1015000 |      3.9 |      59625 |      59625 | 653415 | $200 |       10  (6s)
  1020000 |      3.7 |      59625 |      59625 | 655557 | $200 |       10  (6s)
  1025000 |      3.5 |      59625 |      59625 | 657795 | $200 |       10  (6s)
  1030000 |      3.4 |      59625 |      59625 | 659988 | $200 |       10  (6s)
  1035000 |      3.2 |      59625 |      59625 | 662212 | $200 |       10  (6s)
  1040000 |      3.0 |      59625 |      59625 | 664405 | $200 |       10  (6s)
  1045000 |      2.9 |      59625 |      59625 | 666633 | $200 |       10  (6s)
  1050000 |      2.8 |      59625 |      59625 | 668850 | $200 |       10  (7s)
  1055000 |      2.6 |      59625 |      59625 | 671110 | $200 |       10  (7s)
  1060000 |      2.5 |      59625 |      59625 | 673308 | $200 |       10  (7s)
  1065000 |      2.4 |      59625 |      59625 | 675558 | $200 |       10  (7s)
  1070000 |      2.3 |      59625 |      59625 | 677810 | $200 |       10  (7s)
  1075000 |      2.1 |      59625 |      59625 | 679995 | $200 |       10  (7s)
  1080000 |      2.0 |      59625 |      59625 | 682263 | $200 |       10  (7s)
  1085000 |      1.9 |      59625 |      59625 | 684438 | $200 |       10  (7s)
  1090000 |      1.8 |      59625 |      59625 | 686619 | $200 |       10  (7s)
  1095000 |      1.8 |      59625 |      59625 | 688838 | $200 |       10  (7s)
  1100000 |      1.7 |      59625 |      59625 | 691022 | $200 |       10  (7s)
  1105000 |      1.6 |      59625 |      59625 | 693256 | $200 |       10  (7s)
  1110000 |      1.5 |      59625 |      59625 | 695474 | $200 |       10  (7s)
  1115000 |      1.4 |      59625 |      59625 | 697661 | $200 |       10  (7s)
  1120000 |      1.4 |      59625 |      59625 | 699776 | $200 |       10  (7s)
  1125000 |      1.3 |      59625 |      59625 | 701929 | $200 |       10  (7s)
  1130000 |      1.2 |      59625 |      59625 | 704107 | $200 |       10  (7s)
  1135000 |      1.2 |      59625 |      59625 | 706367 | $200 |       10  (7s)
  1140000 |      1.1 |      59625 |      59625 | 708582 | $200 |       10  (7s)
  1145000 |      1.1 |      59625 |      59625 | 710776 | $200 |       10  (7s)
  1150000 |      1.0 |      59625 |      59625 | 713024 | $200 |       10  (7s)
  1155000 |      1.0 |      59625 |      59625 | 715252 | $200 |       10  (7s)
  1160000 |      0.9 |      59625 |      59625 | 717477 | $200 |       10  (7s)
  1165000 |      0.9 |      59625 |      59625 | 719696 | $200 |       10  (7s)
  1170000 |      0.8 |      59625 |      59625 | 721893 | $200 |       10  (7s)
  1175000 |      0.8 |      59625 |      59625 | 724109 | $200 |       10  (7s)
  1180000 |      0.8 |      59625 |      59625 | 726304 | $200 |       10  (7s)
  1185000 |      0.7 |      59625 |      59625 | 728488 | $200 |       10  (7s)
  1190000 |      0.7 |      59625 |      59625 | 730683 | $200 |       10  (7s)
  1195000 |      0.6 |      59625 |      59625 | 732870 | $200 |       10  (7s)
  1200000 |      0.6 |      59625 |      59625 | 735075 | $200 |       10  (7s)
  1205000 |      0.6 |      59625 |      59625 | 737326 | $200 |       10  (7s)
  1210000 |      0.6 |      59625 |      59625 | 739526 | $200 |       10  (8s)
  1215000 |      0.5 |      59625 |      59625 | 741739 | $200 |       10  (8s)
  1220000 |      0.5 |      59625 |      59625 | 743939 | $200 |       10  (8s)
  1225000 |      0.5 |      59625 |      59625 | 746152 | $200 |       10  (8s)
  1230000 |      0.5 |      59625 |      59625 | 748328 | $200 |       10  (8s)
  1235000 |      0.4 |      59625 |      59625 | 750485 | $200 |       10  (8s)
  1240000 |      0.4 |      59625 |      59625 | 752679 | $200 |       10  (8s)
  1245000 |      0.4 |      59625 |      59625 | 754839 | $200 |       10  (8s)
  1250000 |      0.4 |      59625 |      59625 | 757016 | $200 |       10  (8s)
  1255000 |      0.4 |      59625 |      59625 | 759215 | $200 |       10  (8s)
  1260000 |      0.3 |      59625 |      59625 | 761430 | $200 |       10  (8s)
  1265000 |      0.3 |      59625 |      59625 | 763584 | $200 |       10  (8s)
  1270000 |      0.3 |      59625 |      59625 | 765776 | $200 |       10  (8s)
  1275000 |      0.3 |      59625 |      59625 | 768015 | $200 |       10  (8s)
  1280000 |      0.3 |      59625 |      59625 | 770240 | $200 |       10  (8s)
  1285000 |      0.3 |      59625 |      59625 | 772500 | $200 |       10  (8s)
  1290000 |      0.2 |      59625 |      59625 | 774691 | $200 |       10  (8s)
  1295000 |      0.2 |      59625 |      59625 | 776837 | $200 |       10  (8s)
  1300000 |      0.2 |      59625 |      59625 | 779021 | $200 |       10  (8s)
  1305000 |      0.2 |      59625 |      59625 | 781208 | $200 |       10  (8s)
  1310000 |      0.2 |      59625 |      59625 | 783453 | $200 |       10  (8s)
  1315000 |      0.2 |      59625 |      59625 | 785591 | $200 |       10  (8s)
  1320000 |      0.2 |      59625 |      59625 | 787757 | $200 |       10  (8s)
  1325000 |      0.2 |      59625 |      59625 | 789893 | $200 |       10  (8s)
  1330000 |      0.2 |      59625 |      59625 | 792180 | $200 |       10  (8s)
  1335000 |      0.2 |      59625 |      59625 | 794383 | $200 |       10  (8s)
  1340000 |      0.2 |      59625 |      59625 | 796581 | $200 |       10  (8s)
  1345000 |      0.1 |      59625 |      59625 | 798807 | $200 |       10  (8s)
  1350000 |      0.1 |      59625 |      59625 | 801028 | $200 |       10  (8s)
  1355000 |      0.1 |      59625 |      59625 | 803291 | $200 |       10  (8s)
  1360000 |      0.1 |      59625 |      59625 | 805549 | $200 |       10  (8s)
  1365000 |      0.1 |      59625 |      59625 | 807789 | $200 |       10  (9s)
  1370000 |      0.1 |      59625 |      59625 | 810042 | $200 |       10  (9s)
  1375000 |      0.1 |      59625 |      59625 | 812171 | $200 |       10  (9s)
  1380000 |      0.1 |      59625 |      59625 | 814409 | $200 |       10  (9s)
  1385000 |      0.1 |      59625 |      59625 | 816599 | $200 |       10  (9s)
  1390000 |      0.1 |      59625 |      59625 | 818834 | $200 |       10  (9s)
  1395000 |      0.1 |      59625 |      59625 | 821099 | $200 |       10  (9s)
  1400000 |      0.1 |      59625 |      59625 | 823343 | $200 |       10  (9s)
